Statut_abrev;Count;Percentage
IR;43;41.34615384615385
CR ;15;14.423076923076922
IE;14;13.461538461538462
PU;8;7.6923076923076925
MdC;7;6.730769230769231
CP;3;2.8846153846153846
DR;3;2.8846153846153846
Doctorant;3;2.8846153846153846
Data;2;1.9230769230769231
Postdoc;2;1.9230769230769231
ATER;1;0.9615384615384616
BS;1;0.9615384615384616
CM;1;0.9615384615384616
Directeur;1;0.9615384615384616
